instance, k, b, olak, olak time, total_time
facebook_combined.txt, 17, 250, 164, 117.9, 
CA-HepPh.txt, 4, 250, 284, 188.76, 
socfb-Syracuse56.mtx, 46, 250, 164, 975.03, 
socfb-Northeastern19.mtx, 33, 250, 167, 681.55, 
CA-CondMat.txt, 4, 250, 338, 188.76, 
Brightkite_edges.txt, 2, 250, 434, 478.0, 
flickrEdges.txt, 5, 250, 5, 5591.92, 
soc-catster.edges, 21, 250, 256, 9656.34, 
Gowalla_edges.txt, 3, 250, 665, 1984.72, 
ca-citeseer.mtx, 3, 250, 511, 2135.08, 
com-dblp.ungraph.txt, 3, 250, 498, 2865.69, 
soc-dogster.edges, 12, 250, 316, 16824.92, 
soc-twitter-higgs.edges, 17, 250, 150, 26830.27, 
web-Google.txt, 4, 250, 574, 11167.51, 
web-hudong.edges, 5, 250, 492, 36594.14, 
web-baidu-baike.edges, 3, 250, 585, 48052.84, 
facebook_combined.txt, 20, 20, 40, 9.76, 
Brightkite_edges.txt, 20, 20, 51, 20.46, 
flickrEdges.txt, 20, 20, 14, 405.87, 
Gowalla_edges.txt, 20, 20, 42, 103.62, 
com-dblp.ungraph.txt, 20, 20, 19, 116.67, 
com-youtube.ungraph.txt, 20, 20, 49, 320.71, 
