instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, prop_9, num_prop_10_fixings, prop_10, prop_10_comp_time, warm_start, prop_8, num_prop_8_inequalties_added, prop_8_comp_time, y_val_fix, relax, fractional_callback, total_time
facebook_combined, reduced_model, 4039, 88234, 17, 250, NA, 1.0, 2479, 2061, 2533.0, 2533.0, NA, NA, 0, 0, 0, False, 0, True, 0.07, False, True, 683, 0.01, False, False, False, 0.85
CA-HepPh, reduced_model, 12006, 118489, 4, 250, NA, 1.0, 6049, 6591, 6978.0, 6978.0, NA, NA, 0, 0, 0, False, 748, True, 0.12, False, True, 748, 0.02, False, False, False, 0.95
socfb-Syracuse56, reduced_model, 13653, 543982, 46, 250, NA, 9180.0, 8085, 6985, 7647.0, 7730.0, NA, NA, 0, 0, 0, False, 205, True, 0.55, False, True, 1396, 0.02, False, False, False, 3604.68
socfb-Northeastern19, reduced_model, 13882, 381934, 33, 250, NA, 30346.0, 8120, 7008, 7584.0, 7614.0, NA, NA, 0, 0, 0, False, 239, True, 0.4, False, True, 1136, 0.02, False, False, False, 3604.61
CA-CondMat, reduced_model, 23133, 93439, 4, 250, NA, 1.0, 10848, 13464, 13939.0, 13939.0, NA, NA, 0, 0, 0, False, 1605, True, 0.11, False, True, 1400, 0.03, False, False, False, 1.37
Brightkite_edges, reduced_model, 58228, 214078, 2, 250, NA, 1.0, 25887, 34706, 35267.0, 35267.0, NA, NA, 0, 0, 0, False, 830, True, 0.28, False, True, 2360, 0.07, False, False, False, 2.74
flickrEdges, reduced_model, 105938, 2316948, 4, 250, NA, 0.0, 554, 105386, 105388.0, 105388.0, NA, NA, 0, 0, 0, False, 178, True, 3.2, False, True, 3, 0.13, False, False, False, 36.14
soc-catster.e, reduced_model, 149684, 5448197, 21, 250, NA, 1.0, 72742, 78945, 79561.0, 79561.0, NA, NA, 0, 0, 0, False, 3282, True, 5.72, False, True, 1894, 0.16, False, False, False, 1073.27
Gowalla_edges, reduced_model, 196591, 950327, 3, 250, NA, 1.0, 100437, 106417, 107299.0, 107299.0, NA, NA, 0, 0, 0, False, 3991, True, 1.29, False, True, 11230, 0.28, False, False, False, 20.1
ca-citeseer, reduced_model, 227320, 814134, 3, 250, NA, 1.0, 82847, 152966, 153765.0, 153765.0, NA, NA, 0, 0, 0, False, 1570, True, 1.24, False, True, 8966, 0.37, False, False, False, 15.29
com-dblp.ungraph, reduced_model, 317080, 1049866, 3, 250, NA, 1.0, 124059, 204031, 204857.0, 204857.0, NA, NA, 0, 0, 0, False, 1920, True, 1.62, False, True, 11353, 0.47, False, False, False, 21.31
soc-dogster.e, reduced_model, 426816, 8543549, 12, 250, NA, 1.0, 221076, 214490, 215343.0, 215343.0, NA, NA, 0, 0, 0, False, 7245, True, 10.36, False, True, 9207, 0.49, False, False, False, 482.35
soc-twitter-higgs.e, reduced_model, 456631, 12508442, 17, 250, NA, 2604.0, 234446, 231419, 232329.0, 232329.0, NA, NA, 0, 0, 0, False, 3852, True, 17.4, False, True, 9664, 0.55, False, False, False, 1229.34
web-Google, reduced_model, 875713, 4322051, 4, 250, NA, 2020.0, 429949, 492655, 494579.0, 494579.0, NA, NA, 0, 0, 0, False, 19600, True, 6.0, False, True, 45995, 1.3, False, False, False, 325.5
web-hudong.e, reduced_model, 1974655, 14428382, 5, 250, NA, 1.0, 959493, 1055322, 1056519.0, 1056519.0, NA, NA, 0, 0, 0, False, 32875, True, 24.0, False, True, 42459, 2.43, False, False, False, 779.6
web-baidu-baike.e, reduced_model, 2140198, 17014946, 3, 250, NA, 1.0, 895053, 1277646, 1278551.0, 1278551.0, NA, NA, 0, 0, 0, False, 47591, True, 30.14, False, True, 34924, 2.56, False, False, False, 1027.35
facebook_combined, reduced_model, 4039, 88234, 20, 20, NA, 55105.0, 2672, 1854, 1967.0, 1967.0, NA, NA, 0, 0, 0, False, 1, True, 0.07, False, True, 745, 0.01, False, False, False, 271.92
Brightkite_edges, reduced_model, 58228, 214078, 20, 20, NA, 4057.0, 60920, 947, 1180.0, 1465.0, NA, NA, 0, 0, 0, False, 20376, True, 0.2, False, True, 4630, 0.05, False, False, False, 3601.78
flickrEdges, reduced_model, 105938, 2316948, 20, 20, NA, 54.0, 95668, 15808, 15833.0, 15835.0, NA, NA, 0, 0, 0, False, 6674, True, 2.81, False, True, 8529, 0.11, False, False, False, 3632.2
Gowalla_edges, reduced_model, 196591, 950327, 20, 20, NA, 1308.0, 200539, 8161, 8445.0, 8779.0, NA, NA, 0, 0, 0, False, 61051, True, 0.91, False, True, 16694, 0.19, False, False, False, 3609.68
com-dblp.ungraph, reduced_model, 317080, 1049866, 20, 20, NA, 1.0, 329837, 3066, 3121.0, 3310.0, NA, NA, 0, 0, 0, False, 114050, True, 0.99, False, True, 26347, 0.28, False, False, False, 3609.76
com-youtube.ungraph, reduced_model, 1134890, 2987624, 20, 20, NA, 15.0, 1138333, 18890, 19090.0, 19343.0, NA, NA, 0, 0, 0, False, 395007, True, 3.76, False, True, 25026, 0.4, False, False, False, 3648.85
